,model_name,interventions,edit,edit_dataset,compression,compression_dataset,unlearn,unlearn_method,wbits,sparsity_ratio,PPl edits unmasked,PPl QA,Rewrite accuracy,Generalization,wmdp_bio accuracy,wmdp_bio stderr,wmdp_cyber accuracy,wmdp_cyber stderr,mmlu,mmlu stderr
0,Llama-3 (8b),"['unlearn', 'edit']",MEMIT,zsre,,c4,RMU,rmu,16,0.0,433.22906494140625,382.7264404296875,0.985,0.95,0.5263157894736842,0.01399987306839288,0.303472571716155,0.010316662231714967,0.5961401509756445,0.0038816608297755984
0,Llama-3 (8b),"['unlearn', 'compress']",,zsre,SparseGPT,c4,RMU,rmu,4,0.65,1573.4332275390625,1558.5958251953125,0.0,0.006666666666666666,0.24666142969363708,0.012086544860415464,0.2642174131857071,0.009893862007097505,0.23095000712149263,0.003551346759510754
0,Llama-3 (8b),"['unlearn', 'compress']",,zsre,SparseGPT,c4,RMU,rmu,4,0.25,480.6078796386719,422.7206115722656,0.018153846153846152,0.013076923076923076,0.2835820895522388,0.012638020654641905,0.2697533970810267,0.009959295350034732,0.5702891326021934,0.003923739835414775
0,Llama-3 (8b),"['unlearn', 'edit']",Fine-tune,zsre,,c4,RMU,rmu,16,0.0,579.7787475585938,508.89398193359375,1.0,0.78,0.5168892380204242,0.01401130365881102,0.3064921992954202,0.010345363763202718,0.5993448226748327,0.003873464783068852
0,Llama-3 (8b),"['compress', 'unlearn']",,zsre,Wanda,c4,RMU,rmu,4,0.65,1549.5107421875,1477.5238037109375,0.002857142857142857,0.009523809523809525,0.24823252160251377,0.012112325990383022,0.2652239557121288,0.009905906998783666,0.22931206380857427,0.0035419552886902152
0,Llama-3 (8b),"['compress', 'unlearn']",,zsre,Wanda,c4,RMU,rmu,4,0.45,622.7926025390625,543.607421875,0.006666666666666666,0.006666666666666666,0.5946582875098193,0.01376578021322084,0.3925515853044791,0.010957549650818816,0.5252100840336135,0.004023337083306932
0,Llama-3 (8b),"['compress', 'unlearn']",,zsre,Wanda,c4,RMU,rmu,4,0.25,491.2776794433594,430.3901062011719,0.01282051282051282,0.01,0.631578947368421,0.013525162335527552,0.35027679919476595,0.010704841756398069,0.5970659450220767,0.0038647554393601057
0,Llama-3 (8b),"['compress', 'unlearn']",,zsre,AWQ,c4,RMU,rmu,4,0.0,471.126220703125,419.1288757324219,0.01282051282051282,0.005,0.2615868028279654,0.012322932915507637,0.2571716155007549,0.00980767666122726,0.5012106537530266,0.003928349901388478
0,Llama-3 (8b),"['compress', 'unlearn']",,zsre,AWQ,c4,RMU,rmu,2,0.0,915356.5,999726.5,0.0,0.0,0.2403770620581304,0.011981246158401224,0.24559637644690488,0.009658801441093866,0.2689075630252101,0.00370168377151732
0,Llama-3 (8b),"['compress', 'unlearn']",,zsre,AWQ,c4,RMU,rmu,8,0.0,445.2912902832031,401.84716796875,0.006666666666666666,0.01,0.3087195600942655,0.012952859416638277,0.2682435832913941,0.009941646544172792,0.5984902435550491,0.00386545357246182
0,Llama-3 (8b),"['unlearn', 'compress']",,zsre,Wanda,c4,RMU,rmu,4,0.65,1535.8294677734375,1446.55322265625,0.002857142857142857,0.009523809523809525,0.2545168892380204,0.012213317633567457,0.2657272269753397,0.009911904705651849,0.22931206380857427,0.003542340265010735
0,Llama-3 (8b),"['unlearn', 'compress']",,zsre,AWQ,c4,RMU,rmu,8,0.0,444.82867431640625,400.842041015625,0.01282051282051282,0.015,0.4399057344854674,0.013917679112014044,0.2747861097131354,0.010017072627222944,0.6043298675402364,0.00385203285981531
0,Llama-3 (8b),"['unlearn', 'compress']",,zsre,Wanda,c4,RMU,rmu,4,0.45,620.1090698242188,538.7351684570312,0.006666666666666666,0.006666666666666666,0.4281225451688924,0.013873689849385817,0.2903875188726724,0.01018614780610019,0.5024925224327019,0.004053584929403513
0,Llama-3 (8b),"['unlearn', 'compress']",,zsre,Wanda,c4,RMU,rmu,4,0.25,490.7499694824219,429.0336608886719,0.006153846153846153,0.01,0.3110761979575805,0.012980022053195437,0.2677403120281832,0.009935730970646517,0.5748468879077054,0.003908082958731476
0,Llama-3 (8b),"['unlearn', 'compress']",,zsre,AWQ,c4,RMU,rmu,4,0.0,474.93023681640625,424.1304931640625,0.018153846153846152,0.01,0.39591516103692065,0.013712179154041867,0.27025666834423756,0.0099651457434236,0.5807577268195414,0.0039276377314297105
0,Llama-3 (8b),"['unlearn', 'compress']",,zsre,AWQ,c4,RMU,rmu,2,0.0,1106726.25,1220189.5,0.0,0.0,0.2474469756480754,0.012099462339615808,0.24308002013085053,0.009625205140148942,0.24654607605754167,0.0036317375802393985
0,Llama-3 (8b),"['compress', 'edit']",MEMIT,zsre,GPTQ,c4,,,2,0.0,165747.828125,165031.109375,0.003333333333333333,0.005,0.2631578947368421,0.01234672750847958,0.24609964771011575,0.009665467103760409,0.2549494374020795,0.0036742138942128374
0,Llama-3 (8b),"['edit', 'compress']",Fine-tune,zsre,GPTQ,c4,,,8,0.0,599.8272094726562,519.865478515625,1.0,0.7648571428571429,0.6912804399057345,0.012952859416638271,0.4358329139406139,0.011126902002377722,0.6111665004985045,0.003841249302770799
0,Llama-3 (8b),"['compress', 'edit']",MEMIT,zsre,GPTQ,c4,,,4,0.0,484.55035400390625,489.6915283203125,0.7802380952380952,0.7185238095238097,0.6598586017282011,0.013283472833327984,0.4282838449924509,0.01110366770989408,0.5826093149124056,0.003920931918944397
0,Llama-3 (8b),"['compress', 'edit']",MEMIT,zsre,GPTQ,c4,,,8,0.0,481.23919677734375,376.8397216796875,0.9764285714285714,0.8850952380952382,0.7022780832678712,0.012820837777324696,0.4333165576245596,0.011119449372016362,0.6129468736647201,0.0038366327176522306
0,Llama-3 (8b),"['edit', 'compress']",Fine-tune,zsre,GPTQ,c4,,,2,0.0,33979.2734375,33668.125,0.002857142857142857,0.003333333333333333,0.24273369992144544,0.012021143939194446,0.23955712128837445,0.009577413082543606,0.24505056259792052,0.003628123757605928
0,Llama-3 (8b),"['edit', 'compress']",Fine-tune,zsre,GPTQ,c4,,,4,0.0,535.25,566.9153442382812,0.7101904761904763,0.5831904761904763,0.6496465043205027,0.013376676517058362,0.4217413185707096,0.011081397519599492,0.5812562313060817,0.0039231316815904905
0,Llama-3 (8b),['compress'],,zsre,GPTQ,c4,,,8,0.0,445.9559631347656,401.0690002441406,0.016666666666666666,0.01,0.7140612725844462,0.012669534956802384,0.44036235530951184,0.011139582928577158,0.6210653753026635,0.003806768559805202
0,Llama-3 (8b),['compress'],,zsre,GPTQ,c4,,,4,0.0,472.2503967285156,459.2009887695313,0.020952380952380955,0.006666666666666666,0.6967792615868028,0.012887939922563436,0.4418721690991445,0.011143600696939489,0.6040450078336419,0.003864999699696821
0,Llama-3 (8b),"['compress', 'edit']",Fine-tune,zsre,AWQ,c4,,,8,0.0,777.6782836914062,582.5457763671875,1.0,0.8457142857142856,0.6708562450903378,0.013175405412879496,0.4282838449924509,0.011103667709894075,0.5987751032616436,0.0038866079863086466
0,Llama-3 (8b),['compress'],,zsre,GPTQ,c4,,,2,0.0,21747.458984375,22770.783203125,0.0,0.0030769230769230765,0.2474469756480754,0.012099462339615808,0.2652239557121288,0.009905906998783666,0.2304515026349523,0.003550269033282888
0,Llama-3 (8b),"['compress', 'edit']",Fine-tune,zsre,AWQ,c4,,,4,0.0,540.7034912109375,470.97308349609375,1.0,0.8457142857142856,0.6559308719560094,0.013320126020797749,0.4302969300452944,0.011110120814420603,0.5823244552058111,0.003915582897569624
0,Llama-3 (8b),"['compress', 'edit']",Fine-tune,zsre,AWQ,c4,,,2,0.0,78554.2265625,102475.6171875,0.0,0.0,0.2474469756480754,0.012099462339615808,0.24308002013085053,0.009625205140148942,0.24654607605754167,0.0036317375802393985
0,Llama-3 (8b),"['edit', 'compress']",Fine-tune,zsre,AWQ,c4,,,2,0.0,1027492.875,1127160.5,0.0,0.0,0.2403770620581304,0.011981246158401224,0.24559637644690488,0.009658801441093866,0.2689075630252101,0.00370168377151732
0,Llama-3 (8b),"['edit', 'compress']",Fine-tune,zsre,AWQ,c4,,,4,0.0,544.5101928710938,502.1154479980469,0.9655714285714286,0.7598571428571428,0.6716417910447762,0.013167376052667948,0.43683945646703576,0.011129801446204412,0.5880928642643498,0.003903912428640942
0,Llama-3 (8b),"['edit', 'compress']",Fine-tune,zsre,AWQ,c4,,,8,0.0,603.2747802734375,523.0933837890625,1.0,0.7848571428571429,0.6897093479968578,0.012971011562150529,0.4383492702566684,0.011134063288767725,0.6135165930779092,0.003834290271296651
0,Llama-3 (8b),"['edit', 'compress']",MEMIT,zsre,GPTQ,c4,,,8,0.0,488.53564453125,376.7815246582031,0.985,0.97,0.7054202670856246,0.0127815005452208,0.43683945646703576,0.011129801446204412,0.61088164079191,0.003841202309353771
0,Llama-3 (8b),['compress'],,zsre,GPTQ,c4,,,2,0.0,21747.458984375,22770.783203125,0.0,0.0030769230769230765,0.2474469756480754,0.012099462339615808,0.2652239557121288,0.009905906998783666,0.2304515026349523,0.003550269033282888
0,Llama-3 (8b),"['edit', 'compress']",MEMIT,zsre,GPTQ,c4,,,2,0.0,28842.1796875,29891.296875,0.019238095238095235,0.0,0.24194815396700703,0.01200789980926611,0.2652239557121288,0.009905906998783666,0.24070645207235436,0.003604679959791436
0,Llama-3 (8b),"['edit', 'compress']",MEMIT,zsre,GPTQ,c4,,,4,0.0,500.0202941894531,453.298095703125,0.9284761904761905,0.8854285714285715,0.6700706991358995,0.01318339308447097,0.4237544036235531,0.011088461678400474,0.5875231448511608,0.00389877930710874
0,Llama-3 (8b),['compress'],,zsre,GPTQ,c4,,,8,0.0,445.9559631347656,401.0690002441406,0.016666666666666666,0.01,0.7140612725844462,0.012669534956802384,0.44036235530951184,0.011139582928577158,0.6210653753026635,0.003806768559805202
0,Llama-3 (8b),['compress'],,zsre,GPTQ,c4,,,4,0.0,472.2503967285156,459.2009887695313,0.020952380952380955,0.006666666666666666,0.6967792615868028,0.012887939922563436,0.4418721690991445,0.011143600696939489,0.6040450078336419,0.003864999699696821
