,tag,_timestamp,interventions,edit,unlearn,compression,model_name,edit_dataset,number_of_edits,wbits,compression_dataset,sparsity_ratio,qa_question_count_limit,mmlu accuracy,wmdp_bio accuracy,wmdp_cyber accuracy,PPL,PPL edits,PPl QA,Generalization,FLOPs,Success recall,Generalization recall,Locality,Average bits,Rewrite accuracy,PPl edits unmasked,Local recall,Latency,date
78,lora-to-AWQ8bit,1716163149.8245373,"['edit', 'compress']",Lora,,AWQ,Llama-3 (8b),zsre,50,8.0,c4,0.0,,0.6085315482125053,0.6865671641791045,0.4408656265727227,21.79803466796875,269726.34375,6732.20654296875,0.68,-1,1.0,0.68,0.06852777777777778,8.25,1.0,9423.3837890625,0.06855982905982906,86.18667918395997,2024-05-19 23:59:09.824537277
92,lora-to-SparseGPT0.45%,1716161349.5225346,"['edit', 'compress']",Lora,,SparseGPT,Llama-3 (8b),zsre,50,4.0,c4,0.45,,0.5278450363196125,0.605655930871956,0.3699043784599899,12.61000919342041,20250.359375,3010.068115234375,0.20905882352941177,982.69 GFLOPS,0.22466666666666665,0.20733333333333331,0.030889760678807332,9.249987247041783,0.22466666666666665,2524.844482421875,0.030844017094017098,-1.0,2024-05-19 23:29:09.522534609
94,lora-to-SparseGPT0.65%,1716161315.2858665,"['edit', 'compress']",Lora,,SparseGPT,Llama-3 (8b),zsre,50,4.0,c4,0.65,,0.2711864406779661,0.29850746268656714,0.2823351786612984,36.16231155395508,50016.3203125,8204.8740234375,0.027999999999999997,625.35 GFLOPS,0.06955555555555555,0.026222222222222216,0.016391402714932127,6.249982160301163,0.07288888888888889,7437.6875,0.015972222222222224,-1.0,2024-05-19 23:28:35.285866499
95,lora-to-SparseGPT0.25%,1716161231.0652275,"['edit', 'compress']",Lora,,SparseGPT,Llama-3 (8b),zsre,50,4.0,c4,0.25,,0.5944309927360775,0.6873527101335428,0.41620533467539006,11.579181671142578,39739.625,2814.0283203125,0.4745641025641026,1.34 TFLOPS,0.7979999999999999,0.4753333333333334,0.01957767722473605,12.249977136747194,0.7979999999999999,3136.5673828125,0.019594017094017094,-1.0,2024-05-19 23:27:11.065227509
96,lora-to-Wanda0.65%,1716159259.7464893,"['edit', 'compress']",Lora,,Wanda,Llama-3 (8b),zsre,50,4.0,c4,0.65,,0.23280159521435692,0.2474469756480754,0.2617010568696527,136.67767333984375,79418.671875,10013.0751953125,0.028888888888888888,625.49 GFLOPS,0.035555555555555556,0.028888888888888888,0.009967287614346438,6.251183143028846,0.035555555555555556,10104.91796875,0.008899572649572649,-1.0,2024-05-19 22:54:19.746489286
97,lora-to-Wanda0.45%,1716158954.5437577,"['edit', 'compress']",Lora,,Wanda,Llama-3 (8b),zsre,50,4.0,c4,0.45,,0.5007121492664862,0.5577376276512176,0.35933568193256166,14.182424545288086,17090.904296875,3554.8134765625,0.1831357466063349,982.76 GFLOPS,0.26966666666666667,0.18299999999999997,0.060916301563360385,9.250591571514423,0.27166666666666667,2990.94482421875,0.06097893772893773,-1.0,2024-05-19 22:49:14.543757677
98,lora-to-Wanda0.25%,1716157736.8579686,"['edit', 'compress']",Lora,,Wanda,Llama-3 (8b),zsre,50,4.0,c4,0.25,,0.5934339837629967,0.6794972505891594,0.4222445898339205,11.944832801818848,41214.32421875,3025.690185546875,0.5320588235294117,1.34 TFLOPS,0.863,0.5316666666666666,0.053772875816993464,12.25,0.863,3293.062255859375,0.054393162393162386,-1.0,2024-05-19 22:28:56.857968569
138,ft-to-SparseGPT0.45%,1716072602.5302012,"['edit', 'compress']",Fine-tune,,SparseGPT,Llama-3 (8b),zsre,50,4.0,c4,0.45,,0.5325452214784219,0.5993715632364494,0.40060392551585305,7.481601715087891,24398.66015625,574.2166748046875,0.49316666666666664,1.12 TFLOPS,0.6573333333333332,0.4923333333333333,0.05886507005539264,9.249987537184587,0.6573333333333332,538.7051391601562,0.057510683760683766,-1.0,2024-05-18 22:50:02.530201197
139,ft-to-SparseGPT0.25%,1716072200.3047314,"['edit', 'compress']",Fine-tune,,SparseGPT,Llama-3 (8b),zsre,50,4.0,c4,0.25,,0.5983478137017519,0.6755695208169678,0.4207347760442879,5.896927356719971,44321.59765625,487.02239990234375,0.71,1.47 TFLOPS,0.985,0.71,0.10931450304259636,12.249976923975806,0.985,639.486328125,0.10928846153846154,-1.0,2024-05-18 22:43:20.304731369
141,ft-to-SparseGPT0.65%,1716072199.0897255,"['edit', 'compress']",Fine-tune,,SparseGPT,Llama-3 (8b),zsre,50,4.0,c4,0.65,,0.2625694345534824,0.3063629222309505,0.2712632108706593,20.790538787841797,39443.3828125,1352.6826171875,0.08788888888888889,759.83 GFLOPS,0.10288888888888888,0.08788888888888889,0.031965927544020854,6.249981831472653,0.104,1188.22119140625,0.0315491452991453,-1.0,2024-05-18 22:43:19.089725494
142,ft-to-Wanda0.65%,1716070867.5296152,"['edit', 'compress']",Fine-tune,,Wanda,Llama-3 (8b),zsre,50,4.0,c4,0.65,,0.22924084888192564,0.24823252160251377,0.2652239557121288,44.73931884765625,57566.3984375,1217.71630859375,0.09022222222222222,759.97 GFLOPS,0.08522222222222223,0.09022222222222222,0.017462831286360697,6.251183143028846,0.08522222222222223,1132.5494384765625,0.01639957264957265,-1.0,2024-05-18 22:21:07.529615164
143,ft-to-Wanda0.45%,1716070811.423173,"['edit', 'compress']",Fine-tune,,Wanda,Llama-3 (8b),zsre,50,4.0,c4,0.45,,0.5217917675544794,0.608012568735271,0.3855057876195269,7.572099208831787,25920.3984375,549.9418334960938,0.5508333333333333,1.12 TFLOPS,0.690111111111111,0.5499999999999999,0.06458661887694146,9.250591571514423,0.690111111111111,553.369384765625,0.06466025641025641,-1.0,2024-05-18 22:20:11.423172951
144,ft-to-Wanda0.25%,1716070734.8094432,"['edit', 'compress']",Fine-tune,,Wanda,Llama-3 (8b),zsre,50,4.0,c4,0.25,,0.5976356644352656,0.6787117046347211,0.4378459989934575,5.879116058349609,42222.203125,454.5567626953125,0.6906666666666667,1.47 TFLOPS,0.98,0.6906666666666667,0.10020363347737896,12.25,0.98,602.1433715820312,0.10003846153846156,-1.0,2024-05-18 22:18:54.809443235
170,memit-to-SparseGPT0.25%,1716068544.331947,"['edit', 'compress']",MEMIT,,SparseGPT,Llama-3 (8b),zsre,50,4.0,c4,0.25,,0.5886625836775388,0.6763550667714061,0.4237544036235531,5.887372970581055,13851.7666015625,423.424072265625,0.8317094017094016,1.47 TFLOPS,0.7666666666666666,0.8322222222222223,0.011583506520887923,12.249977164686872,0.7669381598793363,499.06988525390625,0.011976495726495728,-1.0,2024-05-18 21:42:24.331947088
171,memit-to-SparseGPT0.45%,1716068527.662075,"['edit', 'compress']",MEMIT,,SparseGPT,Llama-3 (8b),zsre,50,4.0,c4,0.45,,0.5166642928357784,0.6103692065985861,0.4031202818319074,7.436594009399414,13011.376953125,561.214599609375,0.43627272727272726,1.12 TFLOPS,0.5338888888888889,0.43566666666666665,0.018130058177117003,9.249987277130668,0.5338888888888889,499.7628784179687,0.017788461538461538,-1.0,2024-05-18 21:42:07.662075043
175,memit-to-SparseGPT0.65%,1716068488.95657,"['edit', 'compress']",MEMIT,,SparseGPT,Llama-3 (8b),zsre,50,4.0,c4,0.65,,0.2344395385272753,0.2655145326001571,0.27075993960744843,20.876007080078125,68928.78125,1624.2659912109375,0.006666666666666666,759.83 GFLOPS,0.0022222222222222222,0.006666666666666666,0.010669631247724552,6.249981868009154,0.0022222222222222222,1540.579345703125,0.01001068376068376,-1.0,2024-05-18 21:41:28.956569910
179,memit-to-Wanda0.25%,1716067574.285256,"['edit', 'compress']",MEMIT,,Wanda,Llama-3 (8b),zsre,50,4.0,c4,0.25,,0.5873807149978636,0.6787117046347211,0.42979365878208353,5.871214866638184,13700.9423828125,424.8670959472656,0.8531196581196581,1.47 TFLOPS,0.8066666666666665,0.8538888888888888,0.02924556489262372,12.25,0.8066666666666665,496.3690490722656,0.029532051282051285,-1.0,2024-05-18 21:26:14.285255909
178,memit-to-Wanda0.45%,1716067273.819327,"['edit', 'compress']",MEMIT,,Wanda,Llama-3 (8b),zsre,50,4.0,c4,0.45,,0.5040592508189716,0.5852317360565593,0.3905385002516356,7.5529327392578125,12041.0419921875,535.204345703125,0.5483838383838383,1.12 TFLOPS,0.6622222222222222,0.5473333333333332,0.01141916906622789,9.250591571514423,0.6622222222222222,488.8166809082031,0.011121794871794871,-1.0,2024-05-18 21:21:13.819327116
177,memit-to-Wanda0.65%,1716067265.4971004,"['edit', 'compress']",MEMIT,,Wanda,Llama-3 (8b),zsre,50,4.0,c4,0.65,,0.2294544936618715,0.24901806755695208,0.2652239557121288,45.17608642578125,69697.28125,1374.8350830078125,0.006666666666666666,759.97 GFLOPS,0.013888888888888888,0.006666666666666666,0.020630252100840334,6.251183143028846,0.013888888888888888,1254.34033203125,0.02014957264957265,-1.0,2024-05-18 21:21:05.497100353
