,tag,_timestamp,interventions,edit,unlearn,compression,model_name,edit_dataset,number_of_edits,wbits,compression_dataset,sparsity_ratio,qa_question_count_limit,mmlu accuracy,wmdp_bio accuracy,wmdp_cyber accuracy,PPL,PPL edits,PPl QA,Generalization,FLOPs,Success recall,Generalization recall,Locality,Average bits,Rewrite accuracy,PPl edits unmasked,Local recall,Latency,date
74,SparseGPT0.45%-to-lora,1716346508.137874,"['compress', 'edit']",Lora,,SparseGPT,Llama-3 (8b),zsre,50,4,c4,0.45,,0.5169491525423728,0.6119402985074627,0.3789632611977856,9.853486061096191,19653.33984375,1974.539306640625,0.21466666666666664,982.73 GFLOPS,0.7461111111111112,0.21466666666666664,0.02503425985778927,9.249987913295628,0.746764705882353,1741.7872314453125,0.02486111111111111,-1.0,2024-05-22 02:55:08.137873888
73,SparseGPT0.65%-to-lora,1716346443.4600873,"['compress', 'edit']",Lora,,SparseGPT,Llama-3 (8b),zsre,50,4,c4,0.65,,0.30024213075060535,0.35899450117831894,0.276295923502768,26.53205680847168,22437.755859375,2272.543212890625,0.1818888888888889,625.37 GFLOPS,0.44155555555555553,0.1818888888888889,0.02042016806722689,6.249982489129672,0.44307070707070706,1556.6148681640625,0.02007936507936508,-1.0,2024-05-22 02:54:03.460087299
71,SparseGPT0.45%-to-ft,1716346302.515435,"['compress', 'edit']",Fine-tune,,SparseGPT,Llama-3 (8b),zsre,50,4,c4,0.45,,0.5298390542657742,0.6142969363707776,0.40211373930548566,7.478771686553955,27751.091796875,543.6444702148438,0.6446666666666667,1.12 TFLOPS,0.9296666666666666,0.6446666666666667,0.04809068273774156,9.249987603809972,0.9296666666666666,561.8063354492188,0.04701068376068376,-1.0,2024-05-22 02:51:42.515434980
70,SparseGPT0.65%-to-ft,1716346292.3724377,"['compress', 'edit']",Fine-tune,,SparseGPT,Llama-3 (8b),zsre,50,4,c4,0.65,,0.31014100555476426,0.3794186959937157,0.29793658782083543,18.76556396484375,27787.876953125,1482.6192626953125,0.5438888888888888,759.86 GFLOPS,0.972222222222222,0.5438888888888888,0.010483660130718952,6.24998219898687,0.9747619047619048,1071.2869873046875,0.01001068376068376,-1.0,2024-05-22 02:51:32.372437716
72,SparseGPT0.25%-to-ft,1716346244.0119915,"['compress', 'edit']",Fine-tune,,SparseGPT,Llama-3 (8b),zsre,50,4,c4,0.25,,0.6010539809143997,0.6802827965435978,0.42325113236034223,5.896777153015137,36020.38671875,399.4838562011719,0.6641666666666666,1.47 TFLOPS,0.995,0.6633333333333333,0.08020133313871454,12.249977110956724,0.995,518.6343994140625,0.0804551282051282,-1.0,2024-05-22 02:50:44.011991501
75,SparseGPT0.25%-to-lora,1716346215.6680582,"['compress', 'edit']",Lora,,SparseGPT,Llama-3 (8b),zsre,50,4,c4,0.25,,0.593576413616294,0.6739984289080911,0.3980875691997987,9.896722793579102,26749.935546875,2135.55126953125,0.5209999999999999,1.34 TFLOPS,0.898,0.5176666666666666,0.03226176470588235,12.249977366712232,0.9,2683.486572265625,0.03278846153846153,-1.0,2024-05-22 02:50:15.668058157
91,GPTQ3bit-to-lora,1716346172.2021265,"['compress', 'edit']",Lora,,GPTQ,Llama-3 (8b),zsre,50,3,c4,0.0,,0.39253667568722406,0.4854673998428908,0.3205837946653246,11.146650314331056,35262.66796875,933.6693115234376,0.011666666666666664,-1,0.01955555555555555,0.011666666666666664,0.006039215686274509,3.25,0.01955555555555556,874.6845703125,0.00625,86.65639830780029,2024-05-22 02:49:32.202126503
92,AWQ3bit-to-lora,1716345045.4743738,"['compress', 'edit']",Lora,,AWQ,Llama-3 (8b),zsre,50,3,c4,0.0,,0.5037031761857286,0.593872741555381,0.3819828887770508,34.591556549072266,203341.09375,5452.384765625,0.73,-1,1.0,0.73,0.026974400871459695,3.25,1.0,8713.5517578125,0.027382478632478627,506.3625961303711,2024-05-22 02:30:45.474373817
94,AWQ5bit-to-lora,1716344951.4693973,"['compress', 'edit']",Lora,,AWQ,Llama-3 (8b),zsre,50,5,c4,0.0,,0.616792479703746,0.6834249803613511,0.43683945646703576,15.591840744018556,592038.8125,8856.3173828125,0.634,-1,1.0,0.634,0.008344226579520697,5.25,1.0,23073.501953125,0.008482905982905981,507.9684404602051,2024-05-22 02:29:11.469397306
93,AWQ6bit-to-lora,1716344913.842795,"['compress', 'edit']",Lora,,AWQ,Llama-3 (8b),zsre,50,6,c4,0.0,,0.5852442671984048,0.6606441476826395,0.4393558127830901,34.764862060546875,363637.59375,6339.85986328125,0.774,-1,1.0,0.774,0.04885403050108932,6.25,1.0,11720.87109375,0.04903846153846153,505.7091366577149,2024-05-22 02:28:33.842794895
